Container_size, 268435456,key_space, 1184274
time in milli second, mean_latency,95 percentile, throuhgput
 100.037000, 43.075366, 77.122000, 2300, 2251
 200.039000, 29.360344, 48.476000, 3365, 3155
 300.018000, 23.589608, 47.447000, 4175, 3657
 400.019000, 21.393683, 46.825000, 4600, 3701
 500.030000, 19.064147, 28.264000, 5157, 3735
 600.018000, 17.373641, 26.018000, 5651, 3795
 700.024000, 15.673124, 25.548000, 6258, 3793
 800.004000, 13.516525, 25.220000, 7239, 3780
 900.024000, 12.025797, 25.123000, 8124, 3777
 1000.004000, 9.986528, 25.118000, 9744, 3722
 1100.021000, 8.390227, 25.046000, 11562, 3659
 1200.001000, 6.839921, 24.897000, 14106, 3571
 1300.004000, 5.100125, 24.717000, 18719, 3439
 1400.014000, 3.440646, 24.414000, 27261, 3172
 1500.001000, 2.046593, 24.004000, 44113, 2608
 1600.007000, 1.147136, 0.843000, 73357, 1563
 1700.001000, 0.743198, 0.835000, 104896, 402
 1800.006000, 0.666968, 0.875000, 114452, 59
 1900.001000, 0.747815, 0.968000, 105746, 3
 2000.001000, 0.701943, 0.920000, 110561, 1
 2100.001000, 0.783417, 0.997000, 102388, 0
 2200.001000, 0.797911, 1.009000, 101132, 0
