Container_size, 268435456,key_space, 1184274
time in milli second, mean_latency,95 percentile, throuhgput
 310.003000, 0.891568, 1.124000, 67900, 0
 385.004000, 0.795491, 1.015000, 74969, 0
 460.003000, 0.795199, 1.014000, 75035, 0
 535.003000, 0.794132, 1.014000, 75129, 0
 610.003000, 0.794304, 1.013000, 75068, 0
 685.003000, 0.794826, 1.013000, 75026, 0
 760.003000, 0.794034, 1.013000, 75074, 0
 835.003000, 0.793340, 1.013000, 75165, 0
 910.003000, 0.794231, 1.013000, 75051, 0
 985.003000, 0.795012, 1.013000, 75035, 0
 1060.003000, 0.794112, 1.013000, 75095, 0
 1135.003000, 0.796000, 1.013000, 74998, 0
 1210.003000, 0.792680, 1.012000, 75213, 0
 1285.003000, 0.793459, 1.014000, 75127, 0
 1360.003000, 0.794839, 1.013000, 75059, 0
 1435.003000, 0.795117, 1.014000, 75008, 0
 1510.003000, 0.793675, 1.013000, 75145, 0
 1585.003000, 0.793078, 1.014000, 75153, 0
 1660.003000, 0.795877, 1.014000, 74815, 0
 1735.003000, 0.796234, 1.015000, 74994, 0
 1810.003000, 0.792586, 1.012000, 75248, 0
 1885.003000, 0.794164, 1.013000, 75024, 0
 1960.003000, 0.795250, 1.014000, 75050, 0
 2035.003000, 0.793406, 1.012000, 75189, 0
 2110.003000, 0.795988, 1.014000, 74918, 0
 2185.003000, 0.795746, 1.013000, 75000, 0
 2260.003000, 0.793632, 1.012000, 75087, 0
 2335.003000, 0.794650, 1.014000, 75061, 0
 2410.003000, 0.795661, 1.014000, 75003, 0
