1048576, 70342.600000, 10380.655116, 26051.300000, 6394.422633
2097152, 70121.000000, 6681.509321, 24844.300000, 934.048184
4194304, 68840.900000, 7394.369432, 24743.400000, 685.592328
8388608, 79451.100000, 19452.446327, 25831.900000, 1147.254152
16777216, 91800.600000, 22482.192180, 28522.200000, 5674.849668
33554432, 93768.200000, 28321.680235, 32512.500000, 11878.028441
67108864, 105013.500000, 23565.129052, 32514.900000, 7918.942195
134217728, 94095.600000, 13223.699605, 28242.500000, 5071.507000
268435456, 104311.300000, 25677.440577, 27611.700000, 1712.823403
536870912, 89866.500000, 9190.084736, 27043.100000, 1289.252299

