Container_size, 536870912,key_space, 2368548
request bin, mean_latency, sd
0, 72.753690, 3.696715
1, 61.721670, 3.347577
2, 52.155680, 2.791981
3, 45.370900, 2.398141
4, 39.153930, 2.380964
5, 33.650050, 2.099957
6, 28.865120, 1.921283
7, 26.162260, 1.888460
8, 24.001640, 1.689853
9, 22.237510, 1.818375
10, 20.172070, 1.671955
11, 18.206570, 1.721309
12, 16.285950, 1.715713
13, 14.752100, 1.800547
14, 13.244200, 1.619229
15, 11.926590, 1.784555
16, 10.919720, 1.723856
17, 9.925580, 1.583956
18, 9.109020, 1.773087
19, 8.382690, 1.644168
20, 7.620570, 1.676041
21, 6.942840, 1.695943
22, 6.380060, 1.675436
23, 6.014860, 1.752851
24, 5.628150, 1.760528
25, 5.326200, 1.706316
26, 5.053570, 1.679813
27, 4.807640, 1.625181
28, 4.521330, 1.739246
29, 4.293030, 1.631582
30, 4.094920, 1.573668
31, 3.841300, 1.629152
32, 3.560800, 1.597788
33, 3.397500, 1.609066
34, 3.197280, 1.603596
35, 3.104770, 1.551788
36, 2.863190, 1.481765
37, 2.724120, 1.616794
38, 2.613050, 1.520955
39, 2.448980, 1.460326
40, 2.322030, 1.504187
41, 2.230280, 1.415724
42, 2.119470, 1.499996
43, 1.990330, 1.335951
44, 1.867560, 1.309574
45, 1.763270, 1.311114
46, 1.689970, 1.380280
47, 1.572340, 1.295920
48, 1.518460, 1.299377
49, 1.431520, 1.239672
50, 1.348400, 1.142265
51, 1.291700, 1.290677
52, 1.223630, 1.218160
53, 1.126270, 1.081900
54, 1.043260, 1.173778
55, 0.983360, 1.195057
56, 0.925260, 1.132717
57, 0.919600, 1.183113
58, 0.914300, 1.096043
59, 0.909770, 1.008913
60, 0.918090, 1.116863
61, 0.911700, 1.065230
62, 0.897030, 0.974822
63, 0.895010, 1.002484
64, 0.891280, 0.970326
65, 0.889120, 0.957629
66, 0.879450, 0.877935
67, 0.887340, 0.975525
68, 0.881720, 0.867281
69, 0.897260, 1.013484
70, 0.886010, 0.874775
71, 0.891350, 0.976628
72, 0.887440, 0.903376
73, 0.881240, 0.869373
74, 0.877950, 0.882918
75, 0.870890, 0.832013
76, 0.869530, 0.853820
77, 0.864540, 0.786184
78, 0.878180, 0.874818
79, 0.872310, 0.828889
80, 0.879750, 0.882822
81, 0.866340, 0.786497
82, 0.859770, 0.738948
83, 0.864700, 0.762091
84, 0.862650, 0.735148
85, 0.858710, 0.691931
86, 0.848940, 0.657913
87, 0.850550, 0.691838
88, 0.850150, 0.651820
89, 0.849170, 0.671540
90, 0.845870, 0.641039
91, 0.854950, 0.705312
92, 0.840200, 0.570944
93, 0.844890, 0.624186
94, 0.846070, 0.599218
95, 0.838560, 0.546664
96, 0.835630, 0.534550
97, 0.852510, 0.673990
98, 0.837550, 0.515607
99, 0.837440, 0.521112
100, 0.826460, 0.474649
101, 0.827630, 0.480458
102, 0.826390, 0.435125
103, 0.828130, 0.481145
104, 0.824140, 0.445529
105, 0.836470, 0.572285
106, 0.821720, 0.390962
107, 0.833040, 0.508465
108, 0.818180, 0.419920
109, 0.835540, 0.493082
110, 0.819250, 0.401847
111, 0.818730, 0.413530
112, 0.814330, 0.397904
113, 0.827230, 0.470018
114, 0.808110, 0.315551
115, 0.817130, 0.406688
116, 0.806220, 0.336815
117, 0.810170, 0.342550
118, 0.816060, 0.402630
119, 0.820890, 0.400018
120, 0.801550, 0.272051
121, 0.807230, 0.316126
122, 0.812700, 0.357515
123, 0.813260, 0.367418
124, 0.806640, 0.303674
125, 0.808640, 0.329930
126, 0.797660, 0.259091
127, 0.801150, 0.264501
128, 0.805010, 0.297352
129, 0.808220, 0.275627
130, 0.804370, 0.298136
131, 0.800320, 0.260826
132, 0.805860, 0.286915
133, 0.803440, 0.263219
134, 0.795800, 0.234068
135, 0.801790, 0.266286
136, 0.793640, 0.221743
137, 0.792140, 0.213686
138, 0.799720, 0.276148
139, 0.794930, 0.221571
140, 0.789940, 0.196728
141, 0.791700, 0.166739
142, 0.799230, 0.257846
143, 0.792130, 0.223496
144, 0.791600, 0.206100
145, 0.791050, 0.188929
146, 0.795350, 0.212191
147, 0.792280, 0.189037
148, 0.794560, 0.220472
149, 0.789990, 0.182562
150, 0.789710, 0.194053
151, 0.791800, 0.189802
152, 0.790360, 0.155700
153, 0.785210, 0.157679
154, 0.782680, 0.134882
155, 0.785660, 0.162985
156, 0.786570, 0.159957
157, 0.784410, 0.154556
158, 0.783270, 0.133329
159, 0.786810, 0.140603
160, 0.787250, 0.161258
161, 0.784300, 0.161428
162, 0.782030, 0.127112
163, 0.781840, 0.123626
164, 0.782600, 0.092494
165, 0.775290, 0.074327
166, 0.781150, 0.111750
167, 0.780920, 0.127539
168, 0.778030, 0.076797
169, 0.776870, 0.084157
170, 0.780730, 0.118020
171, 0.777030, 0.082801
172, 0.780330, 0.103932
173, 0.777040, 0.084108
174, 0.778430, 0.107926
175, 0.776990, 0.093788
176, 0.777720, 0.078855
177, 0.772070, 0.077342
178, 0.778110, 0.097391
179, 0.775860, 0.090481
180, 0.777010, 0.079973
181, 0.772500, 0.064696
182, 0.774990, 0.074196
183, 0.774020, 0.056668
184, 0.770320, 0.058371
185, 0.773850, 0.068112
186, 0.764210, 0.052802
187, 0.769670, 0.057557
