Container_size, 4194304,key_space, 18504
request bin, mean_latency, sd
0, 6.999800, 0.758638
1, 0.360940, 0.114859
2, 0.335740, 0.009916
3, 0.334560, 0.006040
4, 0.333870, 0.005477
5, 0.334580, 0.005456
6, 0.335390, 0.005280
7, 0.333760, 0.004901
8, 0.333460, 0.005520
9, 0.334060, 0.005651
10, 0.333600, 0.005307
11, 0.333460, 0.005547
12, 0.333450, 0.005380
13, 0.333170, 0.005263
14, 0.333400, 0.005623
15, 0.333030, 0.005256
16, 0.333110, 0.005404
17, 0.333740, 0.004999
18, 0.333060, 0.005548
19, 0.332920, 0.005458
20, 0.332880, 0.005098
21, 0.333190, 0.005409
22, 0.332970, 0.005015
23, 0.333100, 0.005493
24, 0.332800, 0.005385
25, 0.332850, 0.005104
26, 0.332860, 0.005126
27, 0.330450, 0.006753
28, 0.327980, 0.009120
29, 0.324780, 0.009790
30, 0.322150, 0.009884
31, 0.320020, 0.009196
32, 0.316500, 0.007121
33, 0.315640, 0.006645
34, 0.315000, 0.006250
35, 0.314300, 0.005873
36, 0.314760, 0.005968
37, 0.314260, 0.005624
38, 0.314530, 0.006046
39, 0.314480, 0.005979
40, 0.314290, 0.005447
41, 0.314570, 0.006073
42, 0.314260, 0.005409
43, 0.314600, 0.006045
44, 0.314680, 0.006041
45, 0.314210, 0.005322
46, 0.314740, 0.006090
47, 0.314310, 0.005289
48, 0.314400, 0.005970
49, 0.314490, 0.006006
50, 0.314340, 0.005503
51, 0.314750, 0.005874
52, 0.314450, 0.005503
53, 0.314590, 0.006176
54, 0.314610, 0.005971
55, 0.314510, 0.005473
56, 0.314350, 0.006078
57, 0.314480, 0.005698
58, 0.314720, 0.005889
59, 0.314710, 0.006217
60, 0.314280, 0.005573
61, 0.314690, 0.006009
62, 0.314450, 0.005543
63, 0.314670, 0.005901
64, 0.314600, 0.006111
65, 0.315090, 0.005573
66, 0.314640, 0.005914
67, 0.314540, 0.005529
68, 0.314540, 0.006007
69, 0.314580, 0.006195
70, 0.314210, 0.005487
71, 0.314680, 0.005928
72, 0.314510, 0.005292
73, 0.314240, 0.005726
74, 0.314370, 0.005669
75, 0.314410, 0.005014
76, 0.314470, 0.005443
77, 0.314350, 0.005054
78, 0.314340, 0.005518
79, 0.314520, 0.005766
80, 0.314530, 0.005235
81, 0.314430, 0.005516
82, 0.314450, 0.005011
83, 0.314270, 0.005470
84, 0.314650, 0.005658
85, 0.314520, 0.005153
86, 0.314430, 0.005476
87, 0.314430, 0.005121
88, 0.314670, 0.005598
89, 0.314600, 0.005579
90, 0.314430, 0.005378
91, 0.314360, 0.005513
92, 0.314560, 0.005404
93, 0.314350, 0.005576
94, 0.314300, 0.005660
95, 0.314440, 0.005141
96, 0.314420, 0.005588
97, 0.314220, 0.005341
98, 0.314460, 0.005617
99, 0.314460, 0.005540
100, 0.314420, 0.005262
101, 0.314370, 0.005522
102, 0.314380, 0.004953
103, 0.314460, 0.005576
104, 0.314610, 0.005571
105, 0.314350, 0.005078
106, 0.314380, 0.005388
107, 0.314240, 0.005062
108, 0.314390, 0.005506
109, 0.314560, 0.005687
110, 0.314350, 0.005062
111, 0.314330, 0.005577
112, 0.314330, 0.005056
113, 0.314360, 0.005412
114, 0.314310, 0.005544
115, 0.314420, 0.005088
116, 0.314290, 0.005505
117, 0.314300, 0.005071
118, 0.314430, 0.005633
119, 0.314310, 0.005544
120, 0.314480, 0.004969
121, 0.314430, 0.005609
122, 0.314350, 0.005279
123, 0.314400, 0.005634
124, 0.314340, 0.005479
125, 0.314210, 0.005202
126, 0.314490, 0.005661
127, 0.314570, 0.005237
128, 0.314370, 0.005742
129, 0.314820, 0.005522
130, 0.314680, 0.005101
131, 0.314440, 0.005530
132, 0.314260, 0.004993
133, 0.314450, 0.005595
134, 0.314250, 0.005577
135, 0.314390, 0.005069
136, 0.314420, 0.005616
137, 0.314250, 0.005056
138, 0.314420, 0.005557
139, 0.314430, 0.005668
140, 0.314310, 0.005104
141, 0.314280, 0.005526
142, 0.314330, 0.005219
143, 0.314330, 0.005544
144, 0.314530, 0.005436
145, 0.314210, 0.004898
146, 0.314110, 0.005578
147, 0.314410, 0.005290
148, 0.314480, 0.005484
149, 0.314380, 0.005442
150, 0.314220, 0.005236
151, 0.314590, 0.005598
152, 0.314320, 0.005165
153, 0.314480, 0.005549
154, 0.314420, 0.005523
155, 0.314130, 0.004995
156, 0.314570, 0.005643
157, 0.314180, 0.004975
158, 0.314290, 0.005480
159, 0.314320, 0.005526
160, 0.314380, 0.005022
161, 0.314690, 0.005580
162, 0.314190, 0.005132
163, 0.314530, 0.005434
164, 0.314330, 0.005566
165, 0.314250, 0.005074
166, 0.314550, 0.005602
167, 0.314270, 0.004960
168, 0.314510, 0.005489
169, 0.314420, 0.005468
170, 0.314120, 0.004958
171, 0.314560, 0.005527
172, 0.314060, 0.005057
173, 0.314590, 0.005623
174, 0.314310, 0.005784
175, 0.314260, 0.005122
176, 0.314350, 0.005576
177, 0.314360, 0.005035
178, 0.314400, 0.005596
179, 0.314400, 0.005404
180, 0.314100, 0.005088
181, 0.314520, 0.005493
182, 0.314300, 0.005074
183, 0.314310, 0.005573
184, 0.314460, 0.005549
185, 0.314230, 0.005274
186, 0.314530, 0.005592
187, 0.314140, 0.005093
188, 0.314330, 0.005537
189, 0.314320, 0.005355
190, 0.314340, 0.005088
191, 0.314370, 0.005581
192, 0.314230, 0.005038
193, 0.314310, 0.005433
194, 0.314340, 0.005532
195, 0.314080, 0.005124
196, 0.314300, 0.005675
197, 0.314220, 0.005236
198, 0.314500, 0.005489
199, 0.314480, 0.005797
200, 0.314330, 0.004938
201, 0.314290, 0.005527
202, 0.314500, 0.005578
203, 0.314410, 0.005503
204, 0.314560, 0.005487
205, 0.314240, 0.005076
206, 0.314540, 0.005611
207, 0.314250, 0.005410
208, 0.314340, 0.005042
209, 0.314580, 0.005838
210, 0.314310, 0.005110
211, 0.314410, 0.005443
212, 0.314480, 0.005558
213, 0.314140, 0.005109
214, 0.314420, 0.005659
215, 0.314370, 0.005087
216, 0.314410, 0.005409
217, 0.314320, 0.005448
218, 0.314220, 0.005049
219, 0.314520, 0.005572
220, 0.314200, 0.005200
221, 0.314310, 0.005605
222, 0.314450, 0.005590
223, 0.314330, 0.005093
224, 0.314480, 0.005520
225, 0.314380, 0.004911
226, 0.314280, 0.005552
227, 0.314550, 0.005903
228, 0.314400, 0.004980
229, 0.314480, 0.005463
230, 0.314260, 0.004953
231, 0.314380, 0.005540
232, 0.314270, 0.005760
233, 0.314460, 0.005137
234, 0.314290, 0.005608
235, 0.314280, 0.005087
236, 0.314410, 0.005316
237, 0.314510, 0.005505
238, 0.314200, 0.004986
239, 0.314410, 0.005650
240, 0.314280, 0.005080
241, 0.314410, 0.005454
242, 0.314370, 0.005558
243, 0.314150, 0.005330
244, 0.314500, 0.005596
245, 0.314380, 0.005055
246, 0.314350, 0.005492
247, 0.314370, 0.005538
248, 0.314280, 0.004966
249, 0.314390, 0.005462
250, 0.314530, 0.004971
251, 0.314270, 0.005589
252, 0.314570, 0.005615
253, 0.314180, 0.005043
254, 0.314180, 0.005336
255, 0.314360, 0.005262
256, 0.314290, 0.005478
257, 0.315050, 0.005590
258, 0.314210, 0.005017
259, 0.314410, 0.005490
260, 0.314290, 0.005135
261, 0.314370, 0.005425
262, 0.314440, 0.005518
263, 0.314430, 0.005034
264, 0.314390, 0.005706
265, 0.314290, 0.005141
266, 0.314450, 0.005393
267, 0.314470, 0.005733
268, 0.314240, 0.005198
269, 0.314410, 0.005487
270, 0.314300, 0.005076
271, 0.314580, 0.005572
272, 0.314330, 0.005486
273, 0.314150, 0.005062
274, 0.314390, 0.005493
275, 0.314220, 0.005220
276, 0.314330, 0.005648
277, 0.314540, 0.005823
278, 0.314210, 0.005148
279, 0.314570, 0.005536
280, 0.314330, 0.005097
281, 0.314310, 0.005614
282, 0.314380, 0.005539
283, 0.314380, 0.005020
284, 0.314520, 0.005507
285, 0.314090, 0.005006
286, 0.314370, 0.005515
287, 0.314200, 0.005562
288, 0.314390, 0.004948
289, 0.314400, 0.005562
290, 0.314340, 0.005244
291, 0.314290, 0.005436
292, 0.314370, 0.005493
293, 0.314300, 0.005174
294, 0.314320, 0.005370
295, 0.314430, 0.005113
296, 0.314360, 0.005487
297, 0.314380, 0.005533
298, 0.314390, 0.005083
299, 0.314280, 0.005620
300, 0.314350, 0.005166
301, 0.314360, 0.005563
302, 0.314490, 0.005603
303, 0.314050, 0.005141
304, 0.314410, 0.005455
305, 0.314130, 0.005194
306, 0.314300, 0.005594
307, 0.314380, 0.005453
308, 0.314480, 0.004997
309, 0.314290, 0.005677
310, 0.314190, 0.004963
311, 0.314340, 0.005476
312, 0.314320, 0.005482
313, 0.314330, 0.005024
314, 0.314450, 0.005714
315, 0.314170, 0.005012
316, 0.314470, 0.005516
317, 0.314280, 0.005548
318, 0.314310, 0.005161
319, 0.314330, 0.005582
320, 0.314270, 0.005180
321, 0.314510, 0.005500
322, 0.314350, 0.005483
323, 0.314240, 0.004974
324, 0.314380, 0.005564
325, 0.314460, 0.005321
326, 0.314470, 0.005540
327, 0.314140, 0.005495
328, 0.314450, 0.005100
329, 0.314430, 0.005399
330, 0.314230, 0.005036
331, 0.314450, 0.005620
332, 0.314310, 0.005493
333, 0.314190, 0.005017
334, 0.314560, 0.005576
335, 0.314270, 0.005069
336, 0.314350, 0.005558
337, 0.314320, 0.005708
338, 0.314550, 0.005052
339, 0.314580, 0.005613
340, 0.314230, 0.005022
341, 0.314440, 0.005474
342, 0.314340, 0.005602
343, 0.314170, 0.005026
344, 0.314410, 0.005572
345, 0.314130, 0.005071
346, 0.314460, 0.005556
347, 0.314580, 0.005456
348, 0.314210, 0.005117
349, 0.314350, 0.005702
350, 0.314270, 0.005124
351, 0.314540, 0.005428
352, 0.314410, 0.005552
353, 0.314130, 0.005151
354, 0.314330, 0.005486
355, 0.314280, 0.005127
356, 0.314510, 0.005647
357, 0.314380, 0.005346
358, 0.314210, 0.005048
359, 0.314500, 0.005742
360, 0.314280, 0.005194
361, 0.314310, 0.005591
362, 0.314290, 0.005529
363, 0.314350, 0.005060
364, 0.314330, 0.005391
365, 0.314170, 0.004954
366, 0.314370, 0.005399
367, 0.314300, 0.005502
368, 0.314430, 0.005115
369, 0.314520, 0.005432
370, 0.314190, 0.005029
371, 0.314350, 0.005588
372, 0.314550, 0.005823
373, 0.314230, 0.005122
374, 0.314370, 0.005669
375, 0.314340, 0.005050
376, 0.314400, 0.005501
377, 0.314450, 0.005618
378, 0.314060, 0.005041
379, 0.314610, 0.005355
380, 0.314200, 0.005171
381, 0.314430, 0.005636
382, 0.314410, 0.005402
383, 0.314160, 0.004985
384, 0.314540, 0.005737
385, 0.314250, 0.004995
386, 0.314230, 0.005533
387, 0.314540, 0.005649
388, 0.314190, 0.005085
389, 0.314410, 0.005499
390, 0.314390, 0.005002
391, 0.314320, 0.005468
392, 0.314450, 0.005307
393, 0.314150, 0.005070
394, 0.314690, 0.005390
395, 0.314310, 0.005147
396, 0.314530, 0.005533
397, 0.314540, 0.005691
398, 0.314340, 0.005020
399, 0.314320, 0.005600
400, 0.314390, 0.005140
401, 0.314400, 0.005450
402, 0.314550, 0.005496
403, 0.314180, 0.004951
404, 0.314400, 0.005439
405, 0.314200, 0.005034
406, 0.314430, 0.005397
407, 0.314490, 0.005766
408, 0.314350, 0.004985
409, 0.314210, 0.005532
410, 0.314320, 0.005073
411, 0.314310, 0.005592
412, 0.314380, 0.005580
413, 0.314150, 0.005049
414, 0.314540, 0.005447
415, 0.314440, 0.005556
416, 0.314330, 0.004962
417, 0.314250, 0.005505
418, 0.314250, 0.005199
419, 0.314450, 0.005747
420, 0.314430, 0.005557
421, 0.314280, 0.005024
422, 0.314220, 0.005705
423, 0.314280, 0.005062
424, 0.314330, 0.005525
425, 0.314250, 0.005531
426, 0.314240, 0.005046
427, 0.314510, 0.005480
428, 0.314310, 0.004995
429, 0.314130, 0.005565
430, 0.314550, 0.005627
431, 0.314320, 0.005142
432, 0.314460, 0.005458
433, 0.314520, 0.005174
434, 0.314270, 0.005512
435, 0.314610, 0.005530
