Container_size, 33554432,key_space, 148034
request bin, mean_latency, sd
0, 37.335350, 2.543174
1, 11.046000, 1.314741
2, 4.248110, 1.253758
3, 1.862130, 1.012103
4, 1.342340, 0.821188
5, 1.066860, 0.583850
6, 0.889140, 0.469271
7, 0.718030, 0.361154
8, 0.587910, 0.238227
9, 0.515600, 0.128296
10, 0.504580, 0.092431
11, 0.500830, 0.077609
12, 0.499690, 0.085098
13, 0.497880, 0.084269
14, 0.492790, 0.064581
15, 0.488390, 0.032079
16, 0.486370, 0.029497
17, 0.483120, 0.008479
18, 0.480110, 0.009592
19, 0.477390, 0.009974
20, 0.475830, 0.008171
21, 0.472690, 0.010229
22, 0.471290, 0.009484
23, 0.468670, 0.009006
24, 0.467040, 0.008694
25, 0.465210, 0.007300
26, 0.462810, 0.008156
27, 0.461920, 0.006964
28, 0.459590, 0.007741
29, 0.457580, 0.008783
30, 0.456280, 0.007634
31, 0.453690, 0.008719
32, 0.453230, 0.007831
33, 0.452370, 0.008404
34, 0.450140, 0.009026
35, 0.448440, 0.007526
36, 0.446490, 0.008545
37, 0.445720, 0.008444
38, 0.443460, 0.008092
39, 0.441870, 0.008499
40, 0.441300, 0.007812
41, 0.439150, 0.009072
42, 0.437940, 0.008308
43, 0.436790, 0.008589
44, 0.434850, 0.009017
45, 0.434320, 0.008195
46, 0.432760, 0.009109
47, 0.431910, 0.008643
48, 0.430300, 0.008802
49, 0.429430, 0.008930
50, 0.429140, 0.007951
51, 0.427440, 0.009392
52, 0.426100, 0.008709
53, 0.425240, 0.009000
54, 0.423940, 0.009312
55, 0.424040, 0.007596
56, 0.422280, 0.009486
57, 0.421180, 0.008733
58, 0.420370, 0.008580
59, 0.418490, 0.009468
60, 0.418820, 0.008379
61, 0.417960, 0.009894
62, 0.417170, 0.008413
63, 0.416160, 0.008971
64, 0.414840, 0.009902
65, 0.415560, 0.008435
66, 0.414000, 0.009521
67, 0.412580, 0.009773
68, 0.411930, 0.008905
69, 0.411340, 0.009769
70, 0.410640, 0.008830
71, 0.409730, 0.009645
72, 0.409080, 0.008936
73, 0.408730, 0.009810
74, 0.408210, 0.009370
75, 0.407710, 0.008510
76, 0.407020, 0.009737
77, 0.406040, 0.009266
78, 0.405330, 0.010283
79, 0.404680, 0.010082
80, 0.403620, 0.009249
81, 0.403680, 0.010157
82, 0.402730, 0.009520
83, 0.403100, 0.010006
84, 0.401860, 0.010062
85, 0.401780, 0.009811
86, 0.401080, 0.009672
87, 0.400310, 0.010404
88, 0.400410, 0.010361
89, 0.399030, 0.010580
90, 0.398830, 0.009447
91, 0.399620, 0.014918
92, 0.397460, 0.009791
93, 0.397390, 0.010003
94, 0.396570, 0.010931
95, 0.396500, 0.010129
96, 0.396230, 0.010413
97, 0.394840, 0.009854
98, 0.394770, 0.010365
99, 0.394550, 0.010989
100, 0.393890, 0.010564
101, 0.394070, 0.010473
102, 0.392750, 0.010307
103, 0.393240, 0.011410
104, 0.392360, 0.010819
105, 0.392340, 0.010365
106, 0.392490, 0.010740
107, 0.391610, 0.009845
108, 0.391020, 0.011023
109, 0.391110, 0.011050
110, 0.389980, 0.010373
111, 0.390670, 0.011184
112, 0.389670, 0.010373
113, 0.389300, 0.011064
114, 0.389050, 0.010539
115, 0.388660, 0.010527
116, 0.388750, 0.011077
117, 0.387990, 0.010453
118, 0.387220, 0.010801
119, 0.387730, 0.011221
120, 0.386270, 0.010284
121, 0.387580, 0.010623
122, 0.386600, 0.010427
123, 0.385770, 0.011377
124, 0.386330, 0.011502
125, 0.385660, 0.010295
126, 0.385740, 0.011282
127, 0.385370, 0.010855
128, 0.384420, 0.011438
129, 0.385170, 0.011303
130, 0.384480, 0.010578
131, 0.384300, 0.010876
132, 0.384440, 0.010341
133, 0.383080, 0.011574
134, 0.384020, 0.011547
135, 0.382770, 0.010869
136, 0.383300, 0.012043
137, 0.383120, 0.010995
138, 0.381740, 0.011132
139, 0.382480, 0.011695
140, 0.381950, 0.010691
141, 0.381820, 0.011857
142, 0.381690, 0.010509
143, 0.381240, 0.011512
144, 0.381760, 0.011324
145, 0.381350, 0.011103
146, 0.380770, 0.012031
147, 0.380910, 0.011075
148, 0.380410, 0.011699
149, 0.380640, 0.011519
150, 0.380410, 0.010968
151, 0.379470, 0.011753
152, 0.380250, 0.010831
153, 0.378930, 0.011571
154, 0.379560, 0.011423
155, 0.379830, 0.011101
156, 0.378570, 0.011572
157, 0.379400, 0.010907
158, 0.378110, 0.011748
159, 0.379060, 0.011379
160, 0.378480, 0.011122
161, 0.377870, 0.011710
162, 0.378370, 0.011195
163, 0.377660, 0.011759
164, 0.377960, 0.011884
165, 0.377990, 0.010745
166, 0.376780, 0.011632
167, 0.377640, 0.011306
168, 0.377010, 0.011626
169, 0.377180, 0.011979
170, 0.376530, 0.011337
171, 0.375920, 0.011659
172, 0.376730, 0.010820
173, 0.375890, 0.011833
174, 0.376240, 0.011807
175, 0.375590, 0.010901
176, 0.375230, 0.011614
177, 0.376310, 0.010915
178, 0.375500, 0.012451
179, 0.374680, 0.011905
180, 0.375020, 0.011451
181, 0.373470, 0.012474
182, 0.374050, 0.011618
183, 0.373340, 0.012879
184, 0.372340, 0.013123
185, 0.371440, 0.013331
186, 0.369920, 0.013873
187, 0.370560, 0.014044
188, 0.369370, 0.014729
189, 0.368460, 0.014747
190, 0.367980, 0.013986
191, 0.366900, 0.014915
192, 0.366820, 0.014395
193, 0.365920, 0.015350
194, 0.364820, 0.014971
195, 0.365400, 0.015224
196, 0.363760, 0.015771
197, 0.363860, 0.015279
198, 0.363010, 0.015962
199, 0.362270, 0.015633
200, 0.362650, 0.015387
201, 0.361660, 0.016092
202, 0.361530, 0.015526
203, 0.360740, 0.016655
204, 0.359760, 0.015773
205, 0.359880, 0.015225
206, 0.359180, 0.016729
207, 0.359150, 0.016035
208, 0.358640, 0.015876
209, 0.356970, 0.015521
210, 0.357200, 0.015539
211, 0.356060, 0.015607
212, 0.356230, 0.016132
213, 0.356080, 0.015577
214, 0.355450, 0.015656
215, 0.355830, 0.015574
216, 0.355310, 0.016361
217, 0.354790, 0.015408
218, 0.355470, 0.015205
219, 0.354140, 0.015100
220, 0.354920, 0.015753
221, 0.354460, 0.016409
222, 0.354420, 0.016279
223, 0.354160, 0.015615
224, 0.353100, 0.015845
225, 0.353530, 0.015607
226, 0.351840, 0.015866
227, 0.351040, 0.015259
228, 0.352170, 0.016926
229, 0.350250, 0.015363
230, 0.350230, 0.014427
231, 0.349330, 0.015170
232, 0.349190, 0.015061
233, 0.348830, 0.013523
234, 0.348000, 0.014124
235, 0.348020, 0.013306
236, 0.347490, 0.014510
237, 0.347020, 0.014583
238, 0.347250, 0.013605
239, 0.346830, 0.014597
240, 0.346680, 0.013521
241, 0.346370, 0.013992
242, 0.346180, 0.014602
243, 0.346560, 0.013694
244, 0.346410, 0.014920
245, 0.346250, 0.014132
246, 0.346000, 0.014653
247, 0.345450, 0.014588
248, 0.345960, 0.013372
249, 0.345400, 0.014287
250, 0.345360, 0.013666
251, 0.344940, 0.014036
252, 0.344930, 0.014511
253, 0.345310, 0.013465
254, 0.344960, 0.014604
