Container_size, 67108864,key_space, 296068
request bin, mean_latency, sd
0, 54.921700, 2.919922
1, 22.630360, 1.568755
2, 13.738580, 1.216188
3, 9.292730, 1.253290
4, 5.641130, 1.316799
5, 3.460910, 1.298392
6, 2.185860, 1.081086
7, 1.556660, 1.019897
8, 1.365660, 0.950985
9, 1.205950, 0.794555
10, 1.093730, 0.693225
11, 0.986490, 0.622574
12, 0.889440, 0.492653
13, 0.827320, 0.470266
14, 0.795140, 0.399661
15, 0.754950, 0.371235
16, 0.688130, 0.325801
17, 0.611950, 0.191019
18, 0.573210, 0.202759
19, 0.543940, 0.178345
20, 0.522440, 0.110711
21, 0.518710, 0.102732
22, 0.514300, 0.075700
23, 0.512580, 0.071204
24, 0.516570, 0.119915
25, 0.511060, 0.085917
26, 0.508060, 0.066140
27, 0.508450, 0.077578
28, 0.504570, 0.060740
29, 0.503260, 0.059392
30, 0.500530, 0.038777
31, 0.497990, 0.030940
32, 0.496940, 0.035538
33, 0.495050, 0.021289
34, 0.493260, 0.012706
35, 0.491550, 0.012304
36, 0.490960, 0.012913
37, 0.489520, 0.012346
38, 0.488210, 0.013384
39, 0.487420, 0.012785
40, 0.486390, 0.012350
41, 0.485210, 0.012849
42, 0.483650, 0.012257
43, 0.482930, 0.013387
44, 0.482040, 0.013792
45, 0.480330, 0.009819
46, 0.479560, 0.010160
47, 0.478420, 0.010089
48, 0.477450, 0.010747
49, 0.476430, 0.010231
50, 0.475970, 0.009459
51, 0.475640, 0.010722
52, 0.474090, 0.009495
53, 0.473580, 0.010965
54, 0.473140, 0.010213
55, 0.472370, 0.009456
56, 0.471010, 0.010985
57, 0.470690, 0.009772
58, 0.469760, 0.010405
59, 0.468970, 0.010696
60, 0.468430, 0.009252
61, 0.467270, 0.010956
62, 0.466020, 0.009117
63, 0.465700, 0.010424
64, 0.465520, 0.010372
65, 0.465560, 0.010785
66, 0.464680, 0.010957
67, 0.463370, 0.010372
68, 0.463560, 0.011029
69, 0.463080, 0.011070
70, 0.461990, 0.010144
71, 0.461280, 0.010803
72, 0.460530, 0.010408
73, 0.460440, 0.011040
74, 0.460490, 0.010707
75, 0.459450, 0.010232
76, 0.458630, 0.011394
77, 0.458340, 0.009892
78, 0.458260, 0.011128
79, 0.458130, 0.010643
80, 0.456690, 0.010095
81, 0.456990, 0.011051
82, 0.455900, 0.010837
83, 0.456080, 0.010925
84, 0.456100, 0.010538
85, 0.454680, 0.010325
86, 0.455550, 0.011370
87, 0.454180, 0.010075
88, 0.454280, 0.010903
89, 0.453690, 0.010820
90, 0.453450, 0.010522
91, 0.453060, 0.010971
92, 0.452650, 0.010099
93, 0.452300, 0.010823
94, 0.452770, 0.011437
95, 0.452060, 0.010526
96, 0.451380, 0.010821
97, 0.451030, 0.010094
98, 0.451140, 0.010746
99, 0.450910, 0.010917
100, 0.450300, 0.010189
101, 0.450510, 0.010739
102, 0.449610, 0.010551
103, 0.449880, 0.011131
104, 0.449520, 0.010953
105, 0.448670, 0.010575
106, 0.448740, 0.011341
107, 0.448640, 0.010707
108, 0.448990, 0.010823
109, 0.448590, 0.011608
110, 0.447590, 0.010434
111, 0.447350, 0.011428
112, 0.447770, 0.010813
113, 0.447830, 0.011421
114, 0.447210, 0.011283
115, 0.446720, 0.010639
116, 0.446840, 0.011195
117, 0.446150, 0.010251
118, 0.446870, 0.011437
119, 0.446370, 0.011105
120, 0.446260, 0.010853
121, 0.445930, 0.011654
122, 0.446100, 0.010186
123, 0.446110, 0.011237
124, 0.445120, 0.011230
125, 0.445280, 0.010665
126, 0.445370, 0.011544
127, 0.445530, 0.010473
128, 0.445050, 0.012239
129, 0.445760, 0.011590
130, 0.445050, 0.011448
131, 0.444980, 0.011402
132, 0.445010, 0.010439
133, 0.444820, 0.011324
134, 0.444460, 0.011364
135, 0.444220, 0.010971
136, 0.443870, 0.011215
137, 0.444240, 0.010979
138, 0.443940, 0.010821
139, 0.443840, 0.011319
140, 0.443090, 0.010799
141, 0.444090, 0.010911
142, 0.443360, 0.011345
143, 0.443540, 0.011386
144, 0.443770, 0.011657
145, 0.443120, 0.010538
146, 0.443330, 0.011260
147, 0.443260, 0.010763
148, 0.443450, 0.011463
149, 0.442750, 0.011940
150, 0.442810, 0.010853
151, 0.442590, 0.011411
152, 0.443160, 0.010841
153, 0.442700, 0.011578
154, 0.442690, 0.011444
155, 0.442230, 0.010199
156, 0.442570, 0.010905
157, 0.442870, 0.011547
158, 0.443000, 0.011570
159, 0.442110, 0.011387
160, 0.441830, 0.010749
161, 0.442410, 0.011311
162, 0.442320, 0.010872
163, 0.442490, 0.011621
164, 0.442350, 0.011799
165, 0.441520, 0.010908
166, 0.442530, 0.011934
167, 0.442560, 0.010702
168, 0.441660, 0.011284
169, 0.441830, 0.011469
170, 0.441380, 0.010066
171, 0.442040, 0.011636
172, 0.441420, 0.010697
173, 0.441500, 0.011766
174, 0.441530, 0.011684
175, 0.441700, 0.010755
176, 0.442000, 0.011345
177, 0.441100, 0.010516
178, 0.441550, 0.012076
179, 0.441580, 0.011822
180, 0.441550, 0.011304
181, 0.441430, 0.011293
182, 0.441240, 0.010811
183, 0.441270, 0.011623
184, 0.441510, 0.011440
185, 0.441390, 0.011112
186, 0.441230, 0.011198
187, 0.441320, 0.011059
188, 0.441070, 0.011271
189, 0.441000, 0.011808
190, 0.441270, 0.011144
191, 0.441650, 0.011378
192, 0.440980, 0.011515
193, 0.440860, 0.010486
194, 0.441320, 0.012147
195, 0.441220, 0.011220
196, 0.440580, 0.011132
197, 0.440810, 0.011179
198, 0.440940, 0.011494
199, 0.441270, 0.011864
200, 0.441260, 0.010718
201, 0.440970, 0.011422
202, 0.441380, 0.011988
203, 0.440850, 0.011030
204, 0.441410, 0.011390
205, 0.440970, 0.010573
206, 0.441150, 0.011631
207, 0.440890, 0.011736
208, 0.440540, 0.010796
209, 0.441050, 0.011708
210, 0.440690, 0.011194
211, 0.440340, 0.011587
212, 0.440780, 0.012415
213, 0.440720, 0.010884
214, 0.440670, 0.011534
215, 0.440930, 0.010616
216, 0.440510, 0.011570
217, 0.440700, 0.012850
218, 0.440680, 0.011012
219, 0.440190, 0.011729
220, 0.440690, 0.010363
221, 0.440400, 0.011543
222, 0.440490, 0.011717
223, 0.440500, 0.010726
224, 0.440230, 0.012180
225, 0.440710, 0.010967
226, 0.440580, 0.011831
227, 0.440010, 0.011791
228, 0.440580, 0.011051
229, 0.440870, 0.011668
230, 0.440410, 0.010591
231, 0.440990, 0.011490
232, 0.440150, 0.011839
233, 0.440400, 0.010820
234, 0.440500, 0.011596
235, 0.440660, 0.010744
236, 0.440610, 0.012215
237, 0.439960, 0.011791
238, 0.439870, 0.010871
239, 0.440520, 0.012088
240, 0.439860, 0.010378
241, 0.440660, 0.011428
242, 0.440010, 0.011326
243, 0.440210, 0.010691
244, 0.440420, 0.011546
245, 0.440430, 0.010316
246, 0.440430, 0.011715
247, 0.440590, 0.011983
248, 0.440410, 0.010529
249, 0.440630, 0.011751
250, 0.440090, 0.010775
251, 0.440560, 0.011664
252, 0.439920, 0.010951
253, 0.440940, 0.011720
254, 0.440570, 0.012581
255, 0.439890, 0.010903
256, 0.440930, 0.011475
257, 0.440900, 0.011331
258, 0.440900, 0.010792
259, 0.440910, 0.011400
260, 0.440220, 0.010883
261, 0.440600, 0.011970
262, 0.440580, 0.011453
263, 0.440350, 0.010840
264, 0.440570, 0.010967
265, 0.440200, 0.010937
266, 0.440200, 0.011119
267, 0.440340, 0.011634
268, 0.440480, 0.010856
269, 0.439990, 0.011611
270, 0.440030, 0.010613
271, 0.440290, 0.011392
272, 0.440770, 0.011780
273, 0.439760, 0.010667
274, 0.440450, 0.011928
275, 0.440210, 0.011343
276, 0.440460, 0.011990
277, 0.440500, 0.011611
278, 0.440330, 0.011295
279, 0.440710, 0.011539
280, 0.440080, 0.010951
281, 0.440690, 0.011630
282, 0.440380, 0.011717
283, 0.440270, 0.010898
284, 0.440400, 0.011809
285, 0.439990, 0.010581
286, 0.440870, 0.011508
287, 0.440120, 0.011509
288, 0.440320, 0.010790
289, 0.440740, 0.011316
290, 0.439630, 0.010689
291, 0.440360, 0.011607
292, 0.440950, 0.011716
293, 0.440170, 0.010967
294, 0.440440, 0.011349
295, 0.440260, 0.010698
296, 0.440310, 0.012146
297, 0.440200, 0.011603
298, 0.440180, 0.011027
299, 0.439920, 0.011831
300, 0.440610, 0.010307
301, 0.440600, 0.011659
302, 0.440570, 0.011834
303, 0.440230, 0.010703
304, 0.440020, 0.011358
305, 0.439890, 0.010218
306, 0.440130, 0.011885
307, 0.439960, 0.011544
308, 0.440180, 0.010144
309, 0.440080, 0.011127
310, 0.440800, 0.010149
311, 0.440240, 0.011644
312, 0.440490, 0.011889
313, 0.440580, 0.011175
314, 0.440090, 0.011686
315, 0.440520, 0.010707
316, 0.440420, 0.011879
317, 0.440030, 0.012072
318, 0.439970, 0.010473
319, 0.440110, 0.011349
320, 0.440080, 0.011178
321, 0.440390, 0.011947
322, 0.440260, 0.011281
323, 0.439900, 0.010984
324, 0.439900, 0.011411
325, 0.440050, 0.010361
326, 0.440060, 0.011227
327, 0.440460, 0.011426
328, 0.440020, 0.011334
