Container_size, 134217728,key_space, 592137
request bin, mean_latency, sd
0, 67.971810, 3.649176
1, 40.513870, 2.245705
2, 26.909430, 1.641333
3, 18.181930, 1.511021
4, 14.568330, 1.456249
5, 12.418730, 1.352898
6, 10.609660, 1.301026
7, 8.261470, 1.463886
8, 6.452140, 1.236497
9, 5.034350, 1.274551
10, 3.957400, 1.325383
11, 3.153460, 1.178461
12, 2.561380, 1.183662
13, 2.002990, 1.022343
14, 1.621970, 1.006557
15, 1.375270, 1.036590
16, 1.318400, 0.880308
17, 1.269290, 0.904881
18, 1.196470, 0.835119
19, 1.119800, 0.832683
20, 1.068490, 0.735919
21, 1.029410, 0.742167
22, 0.986310, 0.568691
23, 0.936100, 0.622124
24, 0.913940, 0.600726
25, 0.873360, 0.528646
26, 0.828600, 0.451589
27, 0.813180, 0.457445
28, 0.780340, 0.435601
29, 0.772600, 0.387293
30, 0.740750, 0.311056
31, 0.719600, 0.272080
32, 0.708640, 0.286527
33, 0.690730, 0.251630
34, 0.661070, 0.192758
35, 0.654410, 0.210405
36, 0.643450, 0.263004
37, 0.610400, 0.202135
38, 0.594830, 0.219615
39, 0.573980, 0.144167
40, 0.563970, 0.152623
41, 0.554960, 0.126865
42, 0.552610, 0.117355
43, 0.550190, 0.138277
44, 0.544830, 0.092112
45, 0.541090, 0.061126
46, 0.541850, 0.083613
47, 0.541400, 0.079606
48, 0.542940, 0.106468
49, 0.542030, 0.112970
50, 0.538570, 0.066518
51, 0.541440, 0.079183
52, 0.541970, 0.106098
53, 0.538550, 0.072891
54, 0.537980, 0.072521
55, 0.534660, 0.053557
56, 0.538340, 0.079616
57, 0.538260, 0.072098
58, 0.535190, 0.064919
59, 0.533970, 0.056851
60, 0.537600, 0.079031
61, 0.530060, 0.038464
62, 0.530490, 0.039141
63, 0.527020, 0.027840
64, 0.528320, 0.025920
65, 0.529040, 0.027475
66, 0.527000, 0.017032
67, 0.525940, 0.017053
68, 0.526200, 0.015837
69, 0.524080, 0.013811
70, 0.523690, 0.013369
71, 0.525190, 0.016284
72, 0.523780, 0.013606
73, 0.523110, 0.015354
74, 0.523800, 0.016202
75, 0.522980, 0.014469
76, 0.521930, 0.014222
77, 0.521050, 0.013333
78, 0.521330, 0.015045
79, 0.521490, 0.015435
80, 0.521780, 0.013776
81, 0.520880, 0.014277
82, 0.520800, 0.015258
83, 0.519840, 0.014364
84, 0.519700, 0.014523
85, 0.519120, 0.014383
86, 0.518730, 0.014819
87, 0.519560, 0.015389
88, 0.518890, 0.012143
89, 0.517670, 0.012611
90, 0.517650, 0.011000
91, 0.516950, 0.013460
92, 0.517050, 0.011319
93, 0.517240, 0.013679
94, 0.515860, 0.011568
95, 0.518850, 0.012798
96, 0.517560, 0.012611
97, 0.515670, 0.011870
98, 0.516010, 0.011435
99, 0.514680, 0.012360
100, 0.515500, 0.010898
101, 0.515330, 0.012914
102, 0.515740, 0.014553
103, 0.515410, 0.013551
104, 0.514370, 0.012616
105, 0.512750, 0.010750
106, 0.514090, 0.011594
107, 0.513080, 0.010439
108, 0.514210, 0.013413
109, 0.512660, 0.012284
110, 0.512460, 0.012193
111, 0.512080, 0.011343
112, 0.512610, 0.010909
113, 0.513830, 0.013336
114, 0.513940, 0.014294
115, 0.512470, 0.012518
116, 0.512250, 0.012641
117, 0.510260, 0.011241
118, 0.512270, 0.012071
119, 0.511730, 0.011997
120, 0.513640, 0.016235
121, 0.512040, 0.012359
122, 0.510170, 0.010481
123, 0.511220, 0.012321
124, 0.511130, 0.010619
125, 0.509990, 0.010199
126, 0.510130, 0.010381
127, 0.511950, 0.012084
128, 0.511140, 0.013294
129, 0.511180, 0.012847
130, 0.510730, 0.011503
131, 0.509850, 0.011580
132, 0.510120, 0.010691
133, 0.508690, 0.010647
134, 0.509660, 0.012058
135, 0.510760, 0.011292
136, 0.508660, 0.010101
137, 0.508800, 0.009847
138, 0.507330, 0.010439
139, 0.509210, 0.011703
140, 0.509000, 0.012112
141, 0.507580, 0.011506
142, 0.508730, 0.010645
143, 0.510260, 0.013688
144, 0.508120, 0.012602
145, 0.508560, 0.011685
146, 0.507630, 0.011676
147, 0.508050, 0.009926
