1048576, 0.008629, 0.002847, 0.002307, 0.000747
2097152, 0.011929, 0.002962, 0.002160, 0.000708
4194304, 0.022562, 0.004779, 0.002218, 0.000808
8388608, 0.046931, 0.010518, 0.002175, 0.000714
16777216, 0.082954, 0.014608, 0.002224, 0.000773
33554432, 0.147493, 0.020884, 0.002119, 0.000832
67108864, 0.292636, 0.030673, 0.002511, 0.002032
134217728, 0.644804, 0.074064, 0.002153, 0.001225
268435456, 1.188874, 0.086367, 0.002168, 0.001786
536870912, 2.406102, 0.174659, 0.002198, 0.001791
1073741824, 4.646545, 0.180650, 0.002203, 0.001795
