1048576, 1.588485, 0.223360, 1.242629, 0.103555
2097152, 1.456652, 0.139580, 1.143056, 0.105255
4194304, 1.448923, 0.140439, 1.043981, 0.075758
8388608, 1.509193, 0.171305, 1.024281, 0.057339
16777216, 1.446354, 0.225252, 0.971604, 0.094257
33554432, 1.528027, 0.126039, 1.029738, 0.109081
67108864, 1.924367, 0.142613, 1.270943, 0.087645
134217728, 2.547584, 0.220179, 1.262359, 0.111452
268435456, 3.047900, 0.923583, 1.024036, 0.136508
536870912, 4.944260, 0.248800, 1.356740, 0.104436
1073741824, 7.533163, 0.476946, 1.166264, 0.206761

