Container_size, 8388608,key_space, 37008
request bin, mean_latency, sd
0, 12.045800, 0.698715
1, 1.345680, 0.678714
2, 0.496460, 0.423287
3, 0.384990, 0.231196
4, 0.361060, 0.123013
5, 0.349370, 0.072885
6, 0.344650, 0.049083
7, 0.341620, 0.029388
8, 0.344250, 0.028784
9, 0.336330, 0.020411
10, 0.333810, 0.017964
11, 0.338330, 0.022555
12, 0.333760, 0.016469
13, 0.333310, 0.016450
14, 0.330840, 0.013587
15, 0.334500, 0.018012
16, 0.333640, 0.018405
17, 0.333130, 0.017640
18, 0.331210, 0.016137
19, 0.330500, 0.013380
20, 0.330920, 0.013749
21, 0.331550, 0.015337
22, 0.332240, 0.015935
23, 0.333250, 0.017987
24, 0.331940, 0.016325
25, 0.330690, 0.013059
26, 0.330350, 0.013872
27, 0.331850, 0.016391
28, 0.328520, 0.010260
29, 0.330130, 0.013249
30, 0.329290, 0.011615
31, 0.329140, 0.011609
32, 0.327850, 0.007297
33, 0.328990, 0.011490
34, 0.330430, 0.014019
35, 0.328400, 0.009429
36, 0.328070, 0.008542
37, 0.327840, 0.007853
38, 0.327240, 0.006215
39, 0.328140, 0.009567
40, 0.327170, 0.005329
41, 0.327760, 0.007877
42, 0.327180, 0.005311
43, 0.327090, 0.005899
44, 0.327290, 0.005922
45, 0.327650, 0.007975
46, 0.327810, 0.008183
47, 0.327660, 0.007965
48, 0.327220, 0.005751
49, 0.327080, 0.006104
50, 0.327130, 0.005174
51, 0.327140, 0.005748
52, 0.327180, 0.007143
53, 0.327060, 0.005831
54, 0.327380, 0.008505
55, 0.327010, 0.005570
56, 0.327150, 0.005913
57, 0.326980, 0.005173
58, 0.327010, 0.005847
59, 0.327120, 0.005691
60, 0.327690, 0.008274
61, 0.327580, 0.008398
62, 0.327110, 0.005342
63, 0.327100, 0.005809
64, 0.327610, 0.008396
65, 0.327500, 0.007142
66, 0.327040, 0.005891
67, 0.326820, 0.005283
68, 0.327140, 0.005701
69, 0.326910, 0.005947
70, 0.326890, 0.005306
71, 0.327190, 0.005974
72, 0.327020, 0.005177
73, 0.327010, 0.005818
74, 0.327170, 0.005771
75, 0.326900, 0.005308
76, 0.326950, 0.005854
77, 0.326850, 0.005160
78, 0.326890, 0.005757
79, 0.326990, 0.005631
80, 0.326830, 0.005320
81, 0.327650, 0.007528
82, 0.326950, 0.005269
83, 0.327010, 0.005996
84, 0.327210, 0.005643
85, 0.326780, 0.005281
86, 0.327130, 0.005727
87, 0.326920, 0.005228
88, 0.326970, 0.005883
89, 0.327010, 0.005745
90, 0.326920, 0.005442
91, 0.327280, 0.008216
92, 0.326750, 0.005090
93, 0.326980, 0.005573
94, 0.327020, 0.005908
95, 0.327060, 0.005171
96, 0.326930, 0.005799
97, 0.327650, 0.007485
98, 0.327740, 0.008440
99, 0.327600, 0.008367
100, 0.327000, 0.005173
101, 0.327410, 0.008310
102, 0.326940, 0.005336
103, 0.326690, 0.005721
104, 0.327040, 0.005573
105, 0.326940, 0.005533
106, 0.327000, 0.005769
107, 0.327030, 0.005112
108, 0.326990, 0.005780
109, 0.327200, 0.005826
110, 0.326960, 0.005255
111, 0.327010, 0.005971
112, 0.326800, 0.005248
113, 0.326900, 0.005751
114, 0.327000, 0.005598
115, 0.326800, 0.005244
116, 0.327000, 0.006015
117, 0.326980, 0.005301
118, 0.327070, 0.005721
119, 0.326780, 0.005773
120, 0.327120, 0.005204
121, 0.327060, 0.005748
122, 0.326830, 0.005346
123, 0.327190, 0.005580
124, 0.327080, 0.005674
125, 0.326870, 0.005270
126, 0.327660, 0.008392
127, 0.326890, 0.005446
128, 0.326920, 0.005996
129, 0.327140, 0.005627
130, 0.327060, 0.005215
131, 0.326720, 0.005734
132, 0.326990, 0.005106
133, 0.327010, 0.005771
134, 0.327030, 0.005866
135, 0.327090, 0.005109
136, 0.326910, 0.005788
137, 0.327000, 0.005299
138, 0.326990, 0.005959
139, 0.326900, 0.005808
140, 0.326850, 0.005285
141, 0.327060, 0.005882
142, 0.326950, 0.005399
143, 0.326940, 0.005774
144, 0.327060, 0.005875
145, 0.326840, 0.005270
146, 0.326930, 0.005675
147, 0.327150, 0.005408
148, 0.326860, 0.005736
149, 0.326890, 0.006036
150, 0.326930, 0.005283
151, 0.326890, 0.005732
152, 0.326850, 0.005110
153, 0.326680, 0.005807
154, 0.327100, 0.005930
155, 0.326970, 0.005289
156, 0.327010, 0.005698
157, 0.326800, 0.005284
158, 0.327010, 0.005647
159, 0.326890, 0.005856
160, 0.327080, 0.005192
161, 0.327110, 0.006046
162, 0.326860, 0.005231
163, 0.326950, 0.005787
164, 0.326810, 0.005714
165, 0.326750, 0.005364
166, 0.327000, 0.005696
167, 0.326750, 0.005201
168, 0.327050, 0.005842
169, 0.326810, 0.005517
170, 0.326940, 0.005490
171, 0.327160, 0.005624
172, 0.327030, 0.005665
173, 0.327100, 0.006004
174, 0.326810, 0.005725
175, 0.326810, 0.005147
176, 0.326810, 0.005688
177, 0.326950, 0.005050
178, 0.327120, 0.005652
179, 0.327090, 0.005906
180, 0.326780, 0.005266
181, 0.327090, 0.005874
182, 0.327060, 0.005282
183, 0.327180, 0.005871
184, 0.326960, 0.006020
185, 0.326860, 0.005175
186, 0.326860, 0.005724
187, 0.326810, 0.005249
188, 0.326890, 0.005826
189, 0.326930, 0.005728
190, 0.326870, 0.005319
191, 0.327180, 0.005594
192, 0.327070, 0.005076
193, 0.327050, 0.005927
194, 0.327040, 0.005879
195, 0.326900, 0.005178
196, 0.327070, 0.005673
197, 0.326740, 0.005090
198, 0.326910, 0.005719
199, 0.326680, 0.005602
200, 0.326880, 0.005367
201, 0.326840, 0.005854
202, 0.326870, 0.005190
203, 0.327220, 0.005714
204, 0.326850, 0.005719
205, 0.327030, 0.005328
206, 0.326930, 0.005826
207, 0.327140, 0.005953
208, 0.327070, 0.005187
209, 0.326930, 0.005776
210, 0.326970, 0.005345
211, 0.326750, 0.005572
212, 0.327190, 0.005746
213, 0.326900, 0.005275
214, 0.326980, 0.005623
215, 0.326930, 0.005193
216, 0.327170, 0.005887
217, 0.327090, 0.005814
218, 0.327050, 0.005229
219, 0.327060, 0.005936
220, 0.326780, 0.005224
221, 0.327080, 0.005746
222, 0.326910, 0.005710
223, 0.326940, 0.005124
224, 0.327060, 0.005772
225, 0.326670, 0.005354
226, 0.327000, 0.005675
227, 0.326800, 0.006174
228, 0.326860, 0.005352
229, 0.327010, 0.005763
230, 0.326950, 0.005168
231, 0.326940, 0.005813
232, 0.326920, 0.005854
233, 0.327110, 0.004829
234, 0.326980, 0.005795
235, 0.326870, 0.005155
236, 0.326830, 0.005605
237, 0.326980, 0.005659
238, 0.326810, 0.005280
239, 0.327090, 0.005766
240, 0.326760, 0.005335
241, 0.326890, 0.005658
242, 0.327010, 0.005737
243, 0.326970, 0.005114
244, 0.327050, 0.005684
245, 0.327020, 0.005303
246, 0.326890, 0.005716
247, 0.326990, 0.005837
248, 0.326690, 0.005262
249, 0.326830, 0.005759
250, 0.326910, 0.005344
251, 0.326810, 0.005799
252, 0.327120, 0.005766
253, 0.326760, 0.005248
254, 0.326990, 0.005761
255, 0.326940, 0.005081
256, 0.327220, 0.005473
257, 0.327190, 0.005880
258, 0.326870, 0.005302
259, 0.327010, 0.005765
260, 0.326790, 0.005226
261, 0.326980, 0.006053
262, 0.326910, 0.005706
263, 0.326960, 0.005257
264, 0.327000, 0.005848
265, 0.327040, 0.005269
266, 0.326970, 0.005840
267, 0.327000, 0.005755
268, 0.327020, 0.005014
269, 0.327010, 0.005652
270, 0.326940, 0.005184
271, 0.327020, 0.005703
272, 0.326880, 0.005849
273, 0.326860, 0.005208
274, 0.327030, 0.005784
275, 0.326770, 0.005312
276, 0.327060, 0.005695
277, 0.326860, 0.005685
278, 0.326800, 0.005290
279, 0.327020, 0.005783
280, 0.327040, 0.005231
281, 0.326840, 0.005511
282, 0.327040, 0.005856
283, 0.326850, 0.005485
284, 0.326740, 0.005747
285, 0.326960, 0.005259
286, 0.326940, 0.005824
287, 0.327050, 0.005579
288, 0.326850, 0.005275
289, 0.327060, 0.005734
290, 0.326910, 0.005256
291, 0.326870, 0.005683
292, 0.327110, 0.005765
293, 0.326650, 0.005197
294, 0.327090, 0.005848
295, 0.326970, 0.005102
296, 0.326790, 0.005733
297, 0.326890, 0.005720
298, 0.326830, 0.005259
299, 0.326740, 0.005742
300, 0.327070, 0.005076
301, 0.326860, 0.005579
302, 0.327020, 0.005657
303, 0.327000, 0.005171
304, 0.327050, 0.005820
305, 0.326970, 0.005338
306, 0.327240, 0.005898
307, 0.326920, 0.005732
308, 0.326850, 0.005156
309, 0.326690, 0.005827
310, 0.326890, 0.005173
311, 0.326950, 0.005731
312, 0.326960, 0.005662
313, 0.326990, 0.005180
314, 0.326950, 0.005778
315, 0.326970, 0.005170
316, 0.326930, 0.005855
317, 0.327180, 0.005866
318, 0.326980, 0.005156
319, 0.326990, 0.005737
320, 0.326830, 0.005227
321, 0.326880, 0.005816
322, 0.326930, 0.005617
323, 0.326800, 0.005282
324, 0.326950, 0.005705
325, 0.327030, 0.005143
326, 0.326940, 0.005644
327, 0.326950, 0.005778
328, 0.327040, 0.005553
329, 0.327160, 0.005777
330, 0.326770, 0.005513
331, 0.326950, 0.005670
332, 0.327110, 0.005653
333, 0.326670, 0.005284
334, 0.326990, 0.005811
335, 0.326800, 0.005217
336, 0.326980, 0.005760
337, 0.327150, 0.005794
338, 0.326890, 0.005257
339, 0.326790, 0.005823
340, 0.326970, 0.005205
341, 0.326980, 0.005639
342, 0.327070, 0.005769
343, 0.327020, 0.004913
344, 0.326820, 0.005716
345, 0.326930, 0.005252
346, 0.326760, 0.005715
347, 0.326940, 0.005758
348, 0.326720, 0.005259
349, 0.327200, 0.005713
350, 0.327020, 0.005402
351, 0.326980, 0.005805
352, 0.327030, 0.005895
353, 0.327080, 0.005297
354, 0.326860, 0.005660
355, 0.327220, 0.005484
356, 0.326960, 0.005793
357, 0.326990, 0.005863
358, 0.326840, 0.005169
359, 0.327000, 0.005680
360, 0.326850, 0.005092
361, 0.326740, 0.006004
362, 0.327120, 0.005879
363, 0.326850, 0.005135
364, 0.326950, 0.005747
365, 0.326900, 0.005104
366, 0.326990, 0.005599
367, 0.327040, 0.005821
368, 0.327100, 0.005037
369, 0.326850, 0.005684
370, 0.326810, 0.005217
371, 0.326930, 0.005852
372, 0.326960, 0.005885
373, 0.326950, 0.005313
374, 0.326950, 0.005696
375, 0.326820, 0.005298
376, 0.327080, 0.005721
377, 0.326950, 0.005604
378, 0.326870, 0.005257
379, 0.327080, 0.005533
380, 0.326960, 0.005272
381, 0.327020, 0.005833
382, 0.326850, 0.005752
383, 0.327070, 0.005152
384, 0.327070, 0.006772
385, 0.327060, 0.005075
386, 0.327020, 0.005667
387, 0.327030, 0.005742
388, 0.327040, 0.005128
389, 0.327010, 0.005930
390, 0.326980, 0.005424
391, 0.326890, 0.005535
392, 0.327070, 0.005985
393, 0.326880, 0.005300
394, 0.326830, 0.005812
395, 0.326820, 0.005568
396, 0.326920, 0.005730
397, 0.327020, 0.005689
398, 0.326850, 0.005162
399, 0.327120, 0.005677
400, 0.326900, 0.005275
401, 0.326940, 0.005936
402, 0.327090, 0.005646
403, 0.326930, 0.005189
404, 0.327240, 0.005703
405, 0.326920, 0.005194
406, 0.327000, 0.006000
407, 0.327070, 0.005809
408, 0.326720, 0.005411
409, 0.326960, 0.005743
410, 0.326740, 0.005315
411, 0.326910, 0.005659
412, 0.326810, 0.005658
413, 0.327000, 0.005158
414, 0.326930, 0.005787
415, 0.326940, 0.005865
416, 0.327050, 0.004987
417, 0.326810, 0.005954
418, 0.327000, 0.005267
419, 0.326730, 0.005791
420, 0.327040, 0.005674
421, 0.326740, 0.005377
422, 0.326880, 0.005599
423, 0.326910, 0.005290
424, 0.326960, 0.005667
425, 0.327000, 0.005757
426, 0.326810, 0.005399
427, 0.327030, 0.005801
428, 0.326880, 0.005470
429, 0.327140, 0.005862
430, 0.327190, 0.005806
431, 0.326920, 0.005251
432, 0.327170, 0.005634
433, 0.326720, 0.005244
434, 0.326970, 0.005816
435, 0.327120, 0.005787
436, 0.326780, 0.005191
437, 0.327080, 0.005817
438, 0.326870, 0.005197
439, 0.326960, 0.005523
440, 0.326860, 0.006043
441, 0.327060, 0.005020
442, 0.327000, 0.005850
443, 0.326930, 0.005222
444, 0.327030, 0.005737
445, 0.326970, 0.005531
446, 0.326850, 0.005414
447, 0.327000, 0.005857
448, 0.326780, 0.005321
449, 0.327030, 0.005763
450, 0.327130, 0.005711
451, 0.326870, 0.005149
452, 0.327100, 0.005830
453, 0.326980, 0.005248
454, 0.326950, 0.005710
455, 0.327040, 0.005737
456, 0.326890, 0.005209
457, 0.326760, 0.005682
458, 0.326850, 0.005070
459, 0.327010, 0.005731
460, 0.327100, 0.005785
461, 0.326840, 0.005222
462, 0.327010, 0.005997
463, 0.326880, 0.005179
464, 0.327130, 0.005646
465, 0.327090, 0.005810
466, 0.326850, 0.005258
467, 0.326840, 0.005721
468, 0.326850, 0.005203
469, 0.326950, 0.005799
470, 0.327060, 0.005533
471, 0.326890, 0.005253
472, 0.327040, 0.005788
473, 0.326970, 0.005356
474, 0.326990, 0.005770
475, 0.327110, 0.005676
476, 0.326970, 0.005072
477, 0.327050, 0.005778
478, 0.326820, 0.005129
479, 0.326880, 0.005661
480, 0.326960, 0.005715
481, 0.326880, 0.005288
482, 0.326920, 0.005685
483, 0.326870, 0.005325
484, 0.327110, 0.005838
485, 0.326960, 0.005695
486, 0.326890, 0.005184
487, 0.327230, 0.005810
488, 0.327090, 0.005240
489, 0.326930, 0.005670
490, 0.326910, 0.005708
491, 0.326930, 0.005166
492, 0.326790, 0.005710
493, 0.326960, 0.005259
494, 0.326780, 0.005714
495, 0.326960, 0.005904
496, 0.326850, 0.005189
497, 0.326970, 0.005619
498, 0.327070, 0.005115
499, 0.327010, 0.005629
500, 0.327160, 0.005751
501, 0.326860, 0.005278
502, 0.327110, 0.005921
503, 0.327030, 0.005100
504, 0.326720, 0.005771
505, 0.326970, 0.005691
506, 0.326950, 0.005326
507, 0.326810, 0.005830
508, 0.326780, 0.005186
509, 0.327040, 0.005609
510, 0.327060, 0.005793
511, 0.326870, 0.005178
512, 0.327060, 0.005685
513, 0.327260, 0.005407
514, 0.327350, 0.005643
515, 0.326920, 0.005798
516, 0.326920, 0.005274
517, 0.326830, 0.005824
518, 0.326970, 0.005476
519, 0.326880, 0.005886
520, 0.326950, 0.005696
521, 0.326870, 0.005251
522, 0.327100, 0.005675
523, 0.327180, 0.005201
524, 0.326990, 0.005839
525, 0.327100, 0.005816
526, 0.326990, 0.005135
527, 0.326790, 0.005686
528, 0.326750, 0.005235
529, 0.326890, 0.005963
530, 0.326810, 0.005520
531, 0.326860, 0.005257
532, 0.326780, 0.005730
533, 0.327050, 0.005434
534, 0.326880, 0.005750
535, 0.327070, 0.005819
536, 0.326860, 0.005325
537, 0.327060, 0.005713
538, 0.327100, 0.005476
539, 0.326940, 0.005681
540, 0.327150, 0.005930
541, 0.326600, 0.005198
542, 0.327020, 0.005805
543, 0.326800, 0.005158
544, 0.326960, 0.005769
545, 0.327040, 0.005718
546, 0.326940, 0.005379
547, 0.326870, 0.005791
548, 0.327060, 0.005105
549, 0.326990, 0.005558
550, 0.326890, 0.005688
551, 0.327080, 0.005298
552, 0.326950, 0.005629
553, 0.326910, 0.005359
554, 0.326920, 0.005651
555, 0.326920, 0.005605
556, 0.326930, 0.005267
557, 0.327030, 0.005631
558, 0.326850, 0.005212
559, 0.326890, 0.005788
560, 0.326920, 0.005742
561, 0.327180, 0.005360
