Container_size, 268435456,key_space, 1184274
request bin, mean_latency, sd
0, 47.149830, 2.080125
1, 36.811390, 1.840534
2, 31.037760, 1.504943
3, 26.781180, 1.295750
4, 23.423880, 1.180457
5, 20.757830, 0.917737
6, 18.775650, 0.968884
7, 16.877800, 0.927878
8, 15.460280, 0.915708
9, 14.171340, 0.883302
10, 13.088160, 0.826424
11, 12.002490, 0.855493
12, 11.105030, 0.796011
13, 10.387120, 0.882875
14, 9.567490, 0.854954
15, 8.907140, 0.913426
16, 8.213470, 0.915689
17, 7.699710, 0.868761
18, 7.194090, 0.925465
19, 6.668990, 0.912819
20, 6.222050, 0.939490
21, 5.827780, 0.941633
22, 5.433490, 0.964071
23, 5.083440, 0.932721
24, 4.797000, 0.974775
25, 4.432840, 1.002584
26, 4.172100, 0.962675
27, 3.939930, 0.933635
28, 3.704060, 0.937985
29, 3.544500, 0.939119
30, 3.263650, 0.864225
31, 3.092540, 0.958602
32, 2.915500, 0.899191
33, 2.783770, 0.910226
34, 2.624260, 0.886238
35, 2.467520, 0.925653
36, 2.329810, 0.834469
37, 2.241240, 0.904325
38, 2.129910, 0.836647
39, 2.012710, 0.884288
40, 1.942290, 0.865050
41, 1.872440, 0.865309
42, 1.787880, 0.813832
43, 1.675730, 0.861744
44, 1.629030, 0.789415
45, 1.572430, 0.795163
46, 1.491940, 0.815684
47, 1.434340, 0.766892
48, 1.395020, 0.757618
49, 1.326980, 0.759920
50, 1.267940, 0.699180
51, 1.226200, 0.745979
52, 1.208900, 0.714426
53, 1.153500, 0.686885
54, 1.140310, 0.684491
55, 1.100010, 0.672383
56, 1.078130, 0.669053
57, 1.043340, 0.659620
58, 1.006470, 0.574920
59, 1.004650, 0.629968
60, 0.982910, 0.637611
61, 0.936050, 0.564590
62, 0.935370, 0.649313
63, 0.901600, 0.615506
64, 0.890900, 0.623472
65, 0.884630, 0.563158
66, 0.855970, 0.574611
67, 0.845890, 0.510327
68, 0.830720, 0.529959
69, 0.832260, 0.550918
70, 0.810330, 0.508165
71, 0.804070, 0.510071
72, 0.782470, 0.465225
73, 0.773620, 0.498721
74, 0.775430, 0.478200
75, 0.767330, 0.465209
76, 0.767080, 0.488059
77, 0.754910, 0.440444
78, 0.746020, 0.446199
79, 0.739690, 0.488850
80, 0.733200, 0.395265
81, 0.730810, 0.435573
82, 0.725800, 0.424996
83, 0.717570, 0.421331
84, 0.717640, 0.370494
85, 0.711240, 0.427167
86, 0.703800, 0.371840
87, 0.702200, 0.391779
88, 0.692610, 0.359225
89, 0.689520, 0.361789
90, 0.688760, 0.342523
91, 0.683690, 0.345003
92, 0.681980, 0.351502
93, 0.679420, 0.345656
94, 0.676790, 0.302492
95, 0.671740, 0.309655
96, 0.670960, 0.331894
97, 0.678780, 0.315583
98, 0.663110, 0.280778
99, 0.666390, 0.294751
100, 0.667800, 0.305592
101, 0.662890, 0.293645
102, 0.663110, 0.305311
103, 0.661410, 0.247967
104, 0.666830, 0.317256
105, 0.653100, 0.263013
106, 0.660080, 0.307989
107, 0.650120, 0.258758
108, 0.652420, 0.237786
109, 0.654580, 0.285481
110, 0.649410, 0.245988
111, 0.647930, 0.256301
112, 0.645250, 0.229782
113, 0.643660, 0.227685
114, 0.641130, 0.246431
115, 0.647680, 0.242993
116, 0.643650, 0.234624
117, 0.640060, 0.215636
118, 0.636000, 0.223048
119, 0.637470, 0.223734
120, 0.630740, 0.186503
121, 0.633820, 0.203406
122, 0.635040, 0.213643
123, 0.630610, 0.178941
124, 0.632360, 0.182678
125, 0.633450, 0.183880
126, 0.635060, 0.235778
127, 0.629410, 0.178667
128, 0.627270, 0.185120
129, 0.631280, 0.177088
130, 0.629170, 0.165464
131, 0.629280, 0.162390
132, 0.629930, 0.194837
133, 0.628240, 0.169664
134, 0.626880, 0.187327
135, 0.624530, 0.159614
136, 0.626580, 0.181221
137, 0.617220, 0.132401
138, 0.627390, 0.172291
139, 0.622810, 0.155429
140, 0.622290, 0.142135
141, 0.627770, 0.165490
142, 0.621100, 0.138753
143, 0.622520, 0.127405
144, 0.617740, 0.129485
145, 0.619330, 0.159010
146, 0.625090, 0.146603
147, 0.617150, 0.136463
148, 0.620720, 0.126658
149, 0.621380, 0.125534
150, 0.615870, 0.117395
151, 0.614950, 0.115572
152, 0.611110, 0.095304
153, 0.616760, 0.127838
154, 0.617020, 0.124227
155, 0.619610, 0.124699
156, 0.616130, 0.114347
157, 0.617590, 0.110779
158, 0.619490, 0.128822
159, 0.617870, 0.118503
160, 0.614400, 0.100729
161, 0.611380, 0.089504
162, 0.614240, 0.097304
163, 0.613770, 0.116537
164, 0.614330, 0.095468
165, 0.611920, 0.080587
166, 0.613720, 0.113503
167, 0.613410, 0.083797
168, 0.617160, 0.083293
169, 0.611730, 0.059200
170, 0.611520, 0.076681
171, 0.609410, 0.074392
172, 0.613390, 0.084940
173, 0.610590, 0.077954
174, 0.612450, 0.087878
175, 0.609400, 0.076061
176, 0.612380, 0.063380
177, 0.608750, 0.067164
178, 0.612100, 0.073712
179, 0.609440, 0.071363
180, 0.611910, 0.074613
181, 0.611570, 0.076820
182, 0.611230, 0.070641
183, 0.611050, 0.074161
184, 0.610170, 0.067869
185, 0.607140, 0.063987
186, 0.608570, 0.055781
187, 0.611620, 0.084956
188, 0.605570, 0.042126
189, 0.611150, 0.074544
190, 0.611810, 0.068102
191, 0.608020, 0.072062
192, 0.607390, 0.058863
193, 0.609150, 0.065022
194, 0.606520, 0.053473
195, 0.607430, 0.051732
196, 0.608700, 0.054011
197, 0.609970, 0.075101
198, 0.607980, 0.059782
199, 0.604370, 0.059905
200, 0.603480, 0.057815
201, 0.607430, 0.038451
202, 0.606110, 0.047505
203, 0.602710, 0.035280
204, 0.608480, 0.039820
205, 0.603290, 0.042480
206, 0.604780, 0.032137
207, 0.604460, 0.048494
208, 0.602020, 0.039523
209, 0.607400, 0.044104
210, 0.606300, 0.046876
211, 0.604300, 0.055734
212, 0.605780, 0.042085
213, 0.607200, 0.054638
214, 0.607120, 0.037694
215, 0.606170, 0.037285
216, 0.604430, 0.045074
217, 0.606450, 0.046560
218, 0.604900, 0.038580
219, 0.600580, 0.030012
220, 0.607920, 0.037345
221, 0.601650, 0.032232
222, 0.603690, 0.038949
223, 0.602350, 0.035018
224, 0.606640, 0.043523
225, 0.601100, 0.037588
226, 0.602690, 0.034216
227, 0.601600, 0.025107
228, 0.602740, 0.037213
229, 0.603820, 0.045393
230, 0.601220, 0.033550
231, 0.602760, 0.042864
232, 0.602350, 0.031362
233, 0.602500, 0.033823
234, 0.601150, 0.027815
235, 0.601000, 0.028387
236, 0.604400, 0.034354
237, 0.602990, 0.032227
238, 0.599970, 0.022216
239, 0.601940, 0.042672
240, 0.600250, 0.020961
241, 0.602800, 0.030664
242, 0.600360, 0.026167
243, 0.601170, 0.026566
244, 0.598550, 0.034230
245, 0.601590, 0.031079
246, 0.604010, 0.024967
247, 0.605070, 0.034776
248, 0.598590, 0.024787
249, 0.601320, 0.025174
250, 0.602370, 0.037977
251, 0.602550, 0.029901
252, 0.599330, 0.032108
253, 0.600680, 0.025835
254, 0.601710, 0.027044
255, 0.602300, 0.026234
256, 0.601730, 0.030860
257, 0.598500, 0.028628
258, 0.600270, 0.027236
259, 0.603930, 0.028214
260, 0.599170, 0.029400
261, 0.600570, 0.028982
262, 0.602390, 0.025208
263, 0.602480, 0.029310
264, 0.596740, 0.024720
265, 0.601110, 0.027994
266, 0.600680, 0.022550
267, 0.593930, 0.027537
268, 0.604820, 0.023873
269, 0.596770, 0.024467
270, 0.598140, 0.024041
271, 0.601940, 0.034504
272, 0.602590, 0.030461
273, 0.595530, 0.025480
274, 0.601620, 0.025616
275, 0.602190, 0.030581
276, 0.597430, 0.028517
277, 0.608340, 0.030698
278, 0.602620, 0.028351
