Container_size, 4194304,key_space, 18504
request bin, mean_latency, sd
0, 6.651570, 0.641679
1, 0.436440, 0.296054
2, 0.354980, 0.107353
3, 0.339590, 0.044490
4, 0.333590, 0.024155
5, 0.333120, 0.022696
6, 0.328840, 0.018108
7, 0.328640, 0.016922
8, 0.332430, 0.024237
9, 0.329230, 0.018911
10, 0.325890, 0.012516
11, 0.324700, 0.012881
12, 0.325630, 0.015286
13, 0.325780, 0.015738
14, 0.324000, 0.011301
15, 0.324590, 0.011593
16, 0.324590, 0.012177
17, 0.324090, 0.011007
18, 0.324720, 0.013179
19, 0.324460, 0.011678
20, 0.322430, 0.005358
21, 0.322300, 0.008316
22, 0.322660, 0.008159
23, 0.322940, 0.008664
24, 0.324090, 0.010785
25, 0.324480, 0.012400
26, 0.322080, 0.005614
27, 0.321990, 0.005386
28, 0.322780, 0.007555
29, 0.321990, 0.005796
30, 0.321870, 0.005399
31, 0.321970, 0.005787
32, 0.322540, 0.007969
33, 0.322750, 0.008232
34, 0.322450, 0.007640
35, 0.322490, 0.009055
36, 0.322240, 0.005699
37, 0.321650, 0.005294
38, 0.322730, 0.008397
39, 0.321850, 0.005673
40, 0.321950, 0.005054
41, 0.321950, 0.005565
42, 0.322490, 0.007590
43, 0.321790, 0.005854
44, 0.322880, 0.008222
45, 0.321890, 0.005153
46, 0.321890, 0.005770
47, 0.321880, 0.005450
48, 0.322010, 0.005647
49, 0.322060, 0.005616
50, 0.321840, 0.005196
51, 0.321830, 0.005734
52, 0.321860, 0.005223
53, 0.322170, 0.005952
54, 0.321900, 0.005797
55, 0.321890, 0.005181
56, 0.321820, 0.005558
57, 0.322060, 0.005161
58, 0.321810, 0.005564
59, 0.322080, 0.005582
60, 0.321690, 0.005268
61, 0.322190, 0.005714
62, 0.321790, 0.005170
63, 0.321940, 0.005824
64, 0.322010, 0.005854
65, 0.322400, 0.004988
66, 0.322040, 0.005627
67, 0.321950, 0.005072
68, 0.321770, 0.005585
69, 0.322320, 0.005715
70, 0.321880, 0.005185
71, 0.321930, 0.005703
72, 0.321960, 0.005259
73, 0.321980, 0.005812
74, 0.322080, 0.005592
75, 0.322030, 0.005059
76, 0.321920, 0.005976
77, 0.322070, 0.005129
78, 0.321850, 0.005719
79, 0.321850, 0.005766
80, 0.321800, 0.005167
81, 0.322280, 0.005817
82, 0.322170, 0.005183
83, 0.321780, 0.005495
84, 0.321810, 0.005732
85, 0.321670, 0.005263
86, 0.322140, 0.005666
87, 0.322130, 0.005388
88, 0.321800, 0.005696
89, 0.321810, 0.005799
90, 0.321810, 0.005190
91, 0.321770, 0.005468
92, 0.321750, 0.005011
93, 0.321960, 0.005753
94, 0.321880, 0.005845
95, 0.321810, 0.005094
96, 0.321710, 0.005593
97, 0.321960, 0.005183
98, 0.322090, 0.006022
99, 0.322120, 0.005771
100, 0.322000, 0.005169
101, 0.322040, 0.005743
102, 0.321710, 0.005170
103, 0.321950, 0.005687
104, 0.321950, 0.005735
105, 0.321780, 0.005049
106, 0.322060, 0.005848
107, 0.322110, 0.005488
108, 0.321950, 0.005397
109, 0.321860, 0.005517
110, 0.321940, 0.005459
111, 0.322260, 0.005630
112, 0.321810, 0.005234
113, 0.321910, 0.005807
114, 0.321980, 0.005593
115, 0.321930, 0.005072
116, 0.322000, 0.005643
117, 0.321820, 0.005131
118, 0.322040, 0.005863
119, 0.321940, 0.005699
120, 0.321760, 0.005052
121, 0.321900, 0.005806
122, 0.321650, 0.005162
123, 0.321950, 0.005599
124, 0.321970, 0.005545
125, 0.321900, 0.005009
126, 0.321970, 0.005622
127, 0.321720, 0.005095
128, 0.322010, 0.005658
129, 0.322260, 0.005594
130, 0.321880, 0.005303
131, 0.322210, 0.005705
132, 0.322040, 0.005415
133, 0.321670, 0.005731
134, 0.321890, 0.005625
135, 0.321770, 0.005276
136, 0.322020, 0.005793
137, 0.322040, 0.005097
138, 0.321900, 0.005711
139, 0.322010, 0.005698
140, 0.321720, 0.005359
141, 0.321910, 0.005532
142, 0.321820, 0.005425
143, 0.322200, 0.005783
144, 0.322000, 0.005880
145, 0.322050, 0.005365
146, 0.321910, 0.005896
147, 0.321680, 0.005051
148, 0.322100, 0.005844
149, 0.321930, 0.005714
150, 0.321910, 0.005083
151, 0.321770, 0.005526
152, 0.321900, 0.005145
153, 0.322000, 0.005510
154, 0.321910, 0.005814
155, 0.322040, 0.005257
156, 0.322110, 0.005706
157, 0.321920, 0.005245
158, 0.321650, 0.005707
159, 0.321830, 0.005588
160, 0.322010, 0.005139
161, 0.322010, 0.005696
162, 0.321940, 0.005065
163, 0.321920, 0.005614
164, 0.321680, 0.005711
165, 0.322020, 0.005331
166, 0.321970, 0.005910
167, 0.321700, 0.005096
168, 0.322020, 0.005815
169, 0.322020, 0.005750
170, 0.321820, 0.004963
171, 0.321960, 0.005687
172, 0.321970, 0.005129
173, 0.322130, 0.005720
174, 0.321960, 0.005692
175, 0.321800, 0.005040
176, 0.322100, 0.005572
177, 0.321740, 0.005249
178, 0.321960, 0.005971
179, 0.321840, 0.005589
180, 0.321750, 0.005112
181, 0.322100, 0.005737
182, 0.321870, 0.005279
183, 0.321980, 0.005659
184, 0.321660, 0.005568
185, 0.321930, 0.005345
186, 0.321930, 0.005629
187, 0.321810, 0.005349
188, 0.322130, 0.005688
189, 0.322040, 0.005945
190, 0.321910, 0.005282
191, 0.321890, 0.005678
192, 0.321610, 0.005207
193, 0.322140, 0.005753
194, 0.321960, 0.005637
195, 0.321720, 0.005189
196, 0.321900, 0.005588
197, 0.321920, 0.005201
198, 0.322070, 0.005652
199, 0.322120, 0.005850
200, 0.321780, 0.005170
201, 0.321840, 0.005944
202, 0.321830, 0.005198
203, 0.321810, 0.005801
204, 0.321910, 0.005724
205, 0.321890, 0.005116
206, 0.321900, 0.005763
207, 0.321890, 0.005729
208, 0.321800, 0.005073
209, 0.321740, 0.005630
210, 0.321930, 0.005082
211, 0.322130, 0.005775
212, 0.322080, 0.005868
213, 0.321760, 0.005290
214, 0.321890, 0.005873
215, 0.321910, 0.005497
216, 0.322040, 0.005669
217, 0.321830, 0.005577
218, 0.322280, 0.005402
219, 0.321840, 0.005683
220, 0.321650, 0.005254
221, 0.321960, 0.005641
222, 0.322040, 0.005676
223, 0.322050, 0.005337
224, 0.322080, 0.005681
225, 0.321640, 0.005232
226, 0.321900, 0.005640
227, 0.321900, 0.005808
228, 0.322020, 0.005156
229, 0.321800, 0.005724
230, 0.321980, 0.005126
231, 0.321970, 0.005749
232, 0.321810, 0.005667
233, 0.322010, 0.005292
234, 0.321980, 0.005514
235, 0.322000, 0.005372
236, 0.321940, 0.005739
237, 0.321900, 0.005784
238, 0.321760, 0.005181
239, 0.321970, 0.005920
240, 0.321790, 0.005224
241, 0.321870, 0.005893
242, 0.321860, 0.005704
243, 0.322030, 0.005094
244, 0.321960, 0.005694
245, 0.321620, 0.005293
246, 0.321800, 0.005807
247, 0.322830, 0.008832
248, 0.321820, 0.005271
249, 0.322090, 0.005683
250, 0.321900, 0.005237
251, 0.322090, 0.005804
252, 0.321910, 0.005572
253, 0.321720, 0.005173
254, 0.321970, 0.005740
255, 0.322080, 0.005122
256, 0.321940, 0.005657
257, 0.322070, 0.005910
258, 0.321990, 0.005324
259, 0.321850, 0.005776
260, 0.322020, 0.005173
261, 0.322160, 0.005801
262, 0.321810, 0.005681
263, 0.321940, 0.005081
264, 0.321910, 0.005559
265, 0.321840, 0.005247
266, 0.321890, 0.005697
267, 0.322030, 0.005679
268, 0.322010, 0.005180
269, 0.321960, 0.005961
270, 0.321880, 0.005341
271, 0.321730, 0.005639
272, 0.322000, 0.005641
273, 0.321880, 0.005109
274, 0.321910, 0.005745
275, 0.321760, 0.005316
276, 0.321930, 0.005670
277, 0.321770, 0.005751
278, 0.321840, 0.005171
279, 0.321700, 0.005780
280, 0.322230, 0.005396
281, 0.321830, 0.005846
282, 0.321650, 0.005643
283, 0.321610, 0.005433
284, 0.322070, 0.005816
285, 0.321780, 0.005184
286, 0.321980, 0.005795
287, 0.321720, 0.005889
288, 0.322000, 0.005022
289, 0.322080, 0.005709
290, 0.322060, 0.005213
291, 0.321870, 0.005732
292, 0.322020, 0.005535
293, 0.321660, 0.005109
294, 0.321680, 0.005683
295, 0.321920, 0.005249
296, 0.321860, 0.005722
297, 0.322080, 0.005699
298, 0.321730, 0.004976
299, 0.322050, 0.005668
300, 0.321780, 0.005230
301, 0.322050, 0.005638
302, 0.321870, 0.005677
303, 0.321860, 0.005387
304, 0.321860, 0.005781
305, 0.322080, 0.005232
306, 0.321910, 0.005433
307, 0.321880, 0.005622
308, 0.321740, 0.005205
309, 0.322070, 0.005698
310, 0.321790, 0.005141
311, 0.321920, 0.005711
312, 0.321910, 0.005685
313, 0.321910, 0.005132
314, 0.321790, 0.005838
315, 0.321850, 0.005149
316, 0.321900, 0.005857
317, 0.322260, 0.005817
318, 0.321810, 0.005186
319, 0.321510, 0.005693
320, 0.321780, 0.005195
321, 0.321850, 0.005723
322, 0.322290, 0.005724
323, 0.321970, 0.005379
324, 0.321910, 0.005733
325, 0.321830, 0.005324
326, 0.322000, 0.005602
327, 0.321850, 0.005693
328, 0.322000, 0.005144
329, 0.322100, 0.005711
330, 0.321970, 0.005419
331, 0.321850, 0.005472
332, 0.321940, 0.005637
333, 0.321530, 0.005290
334, 0.322030, 0.005629
335, 0.321960, 0.005138
336, 0.322050, 0.005687
337, 0.321920, 0.005713
338, 0.321660, 0.005092
339, 0.321820, 0.005362
340, 0.321880, 0.005189
341, 0.321820, 0.005668
342, 0.322080, 0.005556
343, 0.321690, 0.005270
344, 0.321760, 0.005625
345, 0.321840, 0.005180
346, 0.322180, 0.005654
347, 0.322020, 0.005692
348, 0.322040, 0.005253
349, 0.321750, 0.005638
350, 0.321830, 0.005252
351, 0.322030, 0.005710
352, 0.321900, 0.005590
353, 0.321800, 0.005152
354, 0.321950, 0.005654
355, 0.321940, 0.005169
356, 0.321710, 0.005622
357, 0.322090, 0.005745
358, 0.321810, 0.005314
359, 0.322150, 0.005891
360, 0.321540, 0.005287
361, 0.322010, 0.005733
362, 0.321880, 0.005608
363, 0.322070, 0.005172
364, 0.321920, 0.005747
365, 0.322200, 0.005682
366, 0.321810, 0.005836
367, 0.322090, 0.005616
368, 0.321970, 0.005011
369, 0.321810, 0.005647
370, 0.321680, 0.005010
371, 0.322120, 0.005828
372, 0.321760, 0.005841
373, 0.322070, 0.005056
374, 0.322020, 0.005692
375, 0.321930, 0.005227
376, 0.321800, 0.005680
377, 0.321870, 0.005605
378, 0.321830, 0.005200
379, 0.322180, 0.005597
380, 0.322090, 0.005191
381, 0.321780, 0.005656
382, 0.321960, 0.005901
383, 0.321640, 0.005207
384, 0.322070, 0.005671
385, 0.321900, 0.005212
386, 0.321820, 0.005773
387, 0.321820, 0.005677
388, 0.321890, 0.005219
389, 0.321850, 0.005579
390, 0.321810, 0.005170
391, 0.321980, 0.005790
392, 0.321870, 0.005787
393, 0.321700, 0.005354
394, 0.322060, 0.005727
395, 0.321540, 0.005143
396, 0.322020, 0.005680
397, 0.321910, 0.005659
398, 0.321930, 0.005100
399, 0.321780, 0.005690
400, 0.322020, 0.005225
401, 0.321890, 0.005718
402, 0.322020, 0.005673
403, 0.321730, 0.005089
404, 0.322060, 0.005651
405, 0.321970, 0.005656
406, 0.321760, 0.005548
407, 0.322040, 0.005580
408, 0.321770, 0.005200
409, 0.322010, 0.005992
410, 0.321840, 0.005120
411, 0.321840, 0.005702
412, 0.322120, 0.005682
413, 0.321930, 0.005191
414, 0.321860, 0.006012
415, 0.321870, 0.005601
416, 0.321970, 0.005543
417, 0.322000, 0.005697
418, 0.321700, 0.005283
419, 0.322050, 0.005721
420, 0.321700, 0.005652
421, 0.322050, 0.005104
422, 0.321790, 0.005645
423, 0.322100, 0.005153
424, 0.321870, 0.005578
425, 0.321810, 0.005739
426, 0.321890, 0.005089
427, 0.321710, 0.005677
428, 0.321660, 0.005343
429, 0.322270, 0.005829
430, 0.321820, 0.005883
431, 0.321870, 0.005489
432, 0.321940, 0.005701
433, 0.321750, 0.005322
434, 0.321970, 0.006051
435, 0.321970, 0.005742
436, 0.321790, 0.005339
437, 0.321910, 0.005655
438, 0.321730, 0.005184
439, 0.321830, 0.005807
440, 0.322020, 0.005526
441, 0.322190, 0.005366
442, 0.322000, 0.005814
443, 0.321520, 0.005205
444, 0.322160, 0.005519
445, 0.321690, 0.005730
